"ID DEPATAMENTO","DEPARTAMENTO","ID MUNICIPIO","MUNICIPIO","ID LOCALIDAD","LOCALIDAD","AÑO SERVICIO","MES SERVICIO","ENERGÍA ACTIVA","ENERGÍA REACTIVA","POTENCIA MÁXIMA","DÍA DE DEMANDA MÁXIMA","FECHA DE DEMANDA MÁXIMA","PROMEDIO DIARIO EN HORAS"
"5","ANTIOQUIA","5873","VIGÍA DEL FUERTE","5873002","VEGÁEZ (VIGÍA DEL FUERTE - ANTIOQUIA)","2022","10","4,933","700","32.1","miércoles","2022 Oct 12 08:45:00 PM","6.46"
"5","ANTIOQUIA","5873","VIGÍA DEL FUERTE","5873002","VEGAEZ (VIGÍA DEL FUERTE - ANTIOQUIA)","2022","09","4,104","614","42.72","sábado","2022 Sep 10 01:30:00 AM","6.11"
"5","ANTIOQUIA","5873","VIGÍA DEL FUERTE","5873002","VEGÁEZ (VIGÍA DEL FUERTE - ANTIOQUIA)","2022","08","4,157","577","41.79","sábado","2022 Aug 13 08:45:00 PM","5.47"
"27","CHOCO","27006","ACANDÍ","27006000","ACANDÍ (ACANDÍ - CHOCO)","2022","08","577,208","204,438","1,158.26","martes","2022 Aug 09 10:15:00 PM","21.9"
"27","CHOCO","27800","UNGUÍA","27800001","BALBOA (UNGUÍA - CHOCO)","2022","08","23,630","9,759","87.46","sábado","2022 Aug 06 09:15:00 PM","11.16"
"27","CHOCO","27099","BOJAYÁ","27099000","BELLAVISTA (BOJAYÁ - CHOCO)","2022","08","103,597","30,028","239.04","lunes","2022 Aug 29 07:45:00 PM","17.61"
"27","CHOCO","27425","MEDIO ATRATO","27425000","BETÉ (MEDIO ATRATO - CHOCO)","2022","08","10,496","5,591","60","viernes","2022 Aug 05 11:30:00 AM","8.78"
"27","CHOCO","27077","BAJO BAUDÓ","27077905","BUENAVISTA (BAJO BAUDÓ - CHOCO)","2022","08","293","31","32.77","martes","2022 Aug 16 07:45:00 PM","0.35"
"27","CHOCO","27025","ALTO BAUDÓ","27025000","CIUDAD BAUDÓ - PIE DE PATO (ALTO BAUDÓ - CHOCO)","2022","08","47,341","15,989","114.05","miércoles","2022 Aug 31 12:00:00 PM","23.93"
"27","CHOCO","27495","NUQUÍ","27495912","COMUNIDAD INDÍGENA DE PANGUÍ - (EL YUCAL) (NUQUÍ - CHOCO)","2022","08","6,875","1,664","11.38","lunes","2022 Aug 15 07:15:00 AM","23.54"
"27","CHOCO","27250","EL LITORAL DEL SAN JUAN","27250002","CUCURRUPÍ (EL LITORAL DEL SAN JUAN - CHOCO)","2022","08","3,083","910","19.97","martes","2022 Aug 30 06:15:00 PM","6.01"
"27","CHOCO","27075","BAHÍA SOLANO","27075001","CUPICA (BAHÍA SOLANO - CHOCO)","2022","08","72,057","23,451","160.62","lunes","2022 Aug 01 07:15:00 PM","23.77"
"27","CHOCO","27075","BAHÍA SOLANO","27075002","EL VALLE (BAHÍA SOLANO - CHOCO)","2022","08","164,591","68,613","355.61","lunes","2022 Aug 29 07:15:00 PM","23.43"
"27","CHOCO","27372","JURADO","27372000","JURADO (JURADO - CHOCO)","2022","08","174,846","72,121","320","martes","2022 Aug 16 07:15:00 PM","23.98"
"27","CHOCO","27099","BOJAYÁ","27099002","LA LOMA DE BOJAYÁ (BOJAYÁ - CHOCO)","2022","08","11,880","6,166","64","sábado","2022 Aug 06 06:00:00 PM","8.94"
"27","CHOCO","27099","BOJAYÁ","27099005","NAPIPÍ (BOJAYÁ - CHOCO)","2022","08","9,976","2,595","60.8","lunes","2022 Aug 01 08:30:00 PM","6.34"
"27","CHOCO","27495","NUQUÍ","27495000","NUQUÍ (NUQUÍ - CHOCO)","2022","08","262,239","102,089","492.8","sábado","2022 Aug 13 07:45:00 PM","24"
"27","CHOCO","27077","BAJO BAUDÓ","27077000","PIZARRO (BAJO BAUDÓ - CHOCO)","2022","08","209,953","96,819","459.89","viernes","2022 Aug 12 08:00:00 PM","21.7"
"27","CHOCO","27250","EL LITORAL DEL SAN JUAN","27250000","SANTA GENOVEVA DE DOCORDÓ (EL LITORAL DEL SAN JUAN - CHOCO)","2022","08","75,908","42,612","188.63","viernes","2022 Aug 05 01:15:00 PM","23.96"
"27","CHOCO","27001","QUIBDÓ","27001029","TAGACHI (QUIBDÓ - CHOCO)","2022","08","5,989","2,016","55.44","sábado","2022 Aug 20 07:45:00 PM","4.66"
"27","CHOCO","27800","UNGUÍA","27800005","TITUMATE (UNGUÍA - CHOCO)","2022","08","17,509","4,350","98.21","viernes","2022 Aug 19 07:30:00 PM","8.38"
"27","CHOCO","27250","EL LITORAL DEL SAN JUAN","27250914","TOGOROMA PLAYA (EL LITORAL DEL SAN JUAN - CHOCO)","2022","08","985","285","6.82","viernes","2022 Aug 26 07:00:00 PM","6.2"
"27","CHOCO","27800","UNGUÍA","27800000","UNGUÍA (UNGUÍA - CHOCO)","2022","08","420,806","143,998","912.91","lunes","2022 Aug 08 08:45:00 PM","22.23"
"5","ANTIOQUIA","5873","VIGIA DEL FUERTE","5873002","VEGAEZ (VIGIA DEL FUERTE - ANTIOQUIA)","2022","07","3,567","393.35","35.81","Lunes","2022 Jul 11 09:00:00 PM","4.95"
"27","CHOCO","27006","ACANDI","27006000","ACANDI (ACANDI - CHOCO)","2022","07","624,831","213,978.25","1,257.17","Viernes","2022 Jul 15 08:30:00 PM","22.22"
"27","CHOCO","27800","UNGUIA","27800001","BALBOA (UNGUIA - CHOCO)","2022","07","20,362","8,398.92","89.79","Jueves","2022 Jul 14 07:45:00 PM","9.53"
"27","CHOCO","27099","BOJAYA (BELLAVISTA)","27099000","BELLAVISTA (BOJAYA (BELLAVISTA) - CHOCO)","2022","07","89,481","25,068","269.92","Lunes","2022 Jul 18 07:30:00 PM","14.97"
"27","CHOCO","27425","MEDIO ATRATO (BETE)","27425000","BETE (MEDIO ATRATO (BETE) - CHOCO)","2022","07","13,724","6,899","60","Martes","2022 Jul 19 11:15:00 AM","10.43"
"27","CHOCO","27006","ACANDI","27006000","CAPURGANA (ACANDI - CHOCO)","2022","07","383,322","139,472.3","919.6","Domingo","2022 Jul 03 09:00:00 PM","19.57"
"27","CHOCO","27025","ALTO BAUDO (PIE DE PATO)","27025000","CIUDAD BAUDO (ALTO BAUDO (PIE DE PATO) - CHOCO)","2022","07","46,705","16,143.49","108.59","Sabado","2022 Jul 30 12:00:00 PM","23.93"
"27","CHOCO","27075","BAHIA SOLANO (MUTIS)","27075001","MUTIS (BAHIA SOLANO (MUTIS) - CHOCO)","2022","07","702,580","240,725.43","1,290.08","Martes","2022 Jul 19 07:45:00 PM","23.88"
"27","CHOCO","27495","NUQUI","27495000","COMUNIDAD INDIGENA DE PANGUI - (EL YUCAL) (NUQUI - CHOCO)","2022","07","8,029","1,779.76","11.42","Martes","2022 Jul 12 04:00:00 PM","23.63"
"27","CHOCO","27250","EL LITORAL DEL SAN JUAN","27250000","CUCURRUPI (EL LITORAL DEL SAN JUAN - CHOCO)","2022","07","3,281","954.3","19.84","Martes","2022 Jul 05 07:00:00 PM","6.38"
"27","CHOCO","27075","BAHIA SOLANO (MUTIS)","27075001","CUPICA (BAHIA SOLANO (MUTIS) - CHOCO)","2022","07","67,995","22,507.74","151.14","Martes","2022 Jul 26 07:45:00 PM","23.72"
"27","CHOCO","27075","BAHIA SOLANO (MUTIS)","27075001","EL VALLE (BAHIA SOLANO (MUTIS) - CHOCO)","2022","07","169,468","69,821.07","341.35","Martes","2022 Jul 26 07:15:00 PM","23.73"
"27","CHOCO","27372","JURADO","27372000","JURADO (JURADO - CHOCO)","2022","07","169,335","71,404.04","306.24","Lunes","2022 Jul 18 08:30:00 PM","24"
"27","CHOCO","27099","BOJAYA (BELLAVISTA)","27099000","LA LOMA DE BOJAYA (BOJAYA (BELLAVISTA) - CHOCO)","2022","07","11,046","5,653.6","64","Domingo","2022 Jul 24 07:15:00 PM","8.32"
"27","CHOCO","27099","BOJAYA (BELLAVISTA)","27099000","NAPIPI (BOJAYA (BELLAVISTA) - CHOCO)","2022","07","8,156","2,108.8","60.8","Viernes","2022 Jul 08 07:30:00 PM","5.2"
"27","CHOCO","27495","NUQUI","27495000","NUQUI (NUQUI - CHOCO)","2022","07","258,369","102,885.73","493.86","Martes","2022 Jul 19 08:00:00 PM","23.87"
"27","CHOCO","27077","BAJO BAUDO (PIZARRO)","27077905","PIZARRO (BAJO BAUDO (PIZARRO) - CHOCO)","2022","07","219,353","98,312.81","437.71","Miercoles","2022 Jul 20 01:00:00 PM","23.02"
"27","CHOCO","27001","QUIBDO","27001029","TAGACHI (QUIBDO - CHOCO)","2022","07","5,007","1,754.41","50.23","Viernes","2022 Jul 29 08:15:00 PM","4.3"
"27","CHOCO","27800","UNGUIA","27800001","TITUMATE (UNGUIA - CHOCO)","2022","07","17,576","4,256.54","98.21","Sabado","2022 Jul 30 09:00:00 PM","8.25"
"27","CHOCO","27250","EL LITORAL DEL SAN JUAN","27250000","TOGOROMA PLAYA (EL LITORAL DEL SAN JUAN - CHOCO)","2022","07","1,015","274.86","7.39","Viernes","2022 Jul 08 06:30:00 PM","5.82"
"27","CHOCO","27800","UNGUIA","27800001","UNGUIA (UNGUIA - CHOCO)","2022","07","411,524","141,477.07","901.3","Jueves","2022 Jul 07 08:30:00 PM","21.7"
"5","ANTIOQUIA","5873","VIGÍA DEL FUERTE","5873002","VEGÁEZ (VIGÍA DEL FUERTE - ANTIOQUIA)","2022","06","4,622","545","41.6","Martes","2022 Jun 21 05:15:00 PM","6.45"
"27","CHOCO","27800","UNGUÍA","27800001","BALBOA (UNGUÍA - CHOCO)","2022","06","19,962","8,206","90.9","Viernes","2022 Jun 10 08:30:00 PM","10.03"
"27","CHOCO","27099","BOJAYÁ (BELLAVISTA)","27099000","BELLAVISTA (BOJAYÁ (BELLAVISTA) - CHOCO)","2022","06","94,094","27,441","226.9","Viernes","2022 Jun 03 07:45:00 PM","17.7"
"27","CHOCO","27425","MEDIO ATRATO (BETÉ)","27425000","BETÉ (MEDIO ATRATO (BETÉ) - CHOCO)","2022","06","14,249","7,518","56","Miércoles","2022 Jun 22 07:30:00 PM","12.03"
"27","CHOCO","27025","ALTO BAUDÓ (PIE DE PATO)","27025000","CIUDAD BAUDÓ (ALTO BAUDÓ (PIE DE PATO) - CHOCO)","2022","06","43,555","14,905","108.3","Sábado","2022 Jun 04 11:45:00 AM","24"
"27","CHOCO","27495","NUQUÍ","27495000","COMUNIDAD INDÍGENA DE PANGUÍ - (EL YUCAL) (NUQUÍ - CHOCO)","2022","06","7,868","1,762","11.4","Jueves","2022 Jun 02 06:15:00 PM","23.8"
"27","CHOCO","27250","EL LITORAL DEL SAN JUAN","27250000","CUCURRUPÍ (EL LITORAL DEL SAN JUAN - CHOCO)","2022","06","3,078","946","20.1","Miércoles","2022 Jun 08 07:00:00 PM","6.23"
"27","CHOCO","27075","BAHÍA SOLANO (MUTIS)","27075001","CUPICA (BAHÍA SOLANO (MUTIS) - CHOCO)","2022","06","66,925","23,714","150","Viernes","2022 Jun 03 07:30:00 PM","23.68"
"27","CHOCO","27075","BAHÍA SOLANO (MUTIS)","27075001","EL VALLE (BAHÍA SOLANO (MUTIS) - CHOCO)","2022","06","154,438","63,802","326.3","Miércoles","2022 Jun 29 07:30:00 PM","23.85"
"27","CHOCO","27372","JURADO","27372000","JURADO (JURADO - CHOCO)","2022","06","156,651","68,498","286.6","Miércoles","2022 Jun 15 07:30:00 PM","23.87"
"27","CHOCO","27099","BOJAYÁ (BELLAVISTA)","27099000","LA LOMA DE BOJAYÁ (BOJAYÁ (BELLAVISTA) - CHOCO)","2022","06","10,777","5,754","57.6","Lunes","2022 Jun 06 07:15:00 PM","8.8"
"27","CHOCO","27099","BOJAYÁ (BELLAVISTA)","27099000","NAPIPÍ (BOJAYÁ (BELLAVISTA) - CHOCO)","2022","06","8,914","2,289","60.8","Sábado","2022 Jun 04 06:45:00 PM","6"
"27","CHOCO","27495","NUQUÍ","27495000","NUQUÍ (NUQUÍ - CHOCO)","2022","06","242,342","95,501","484","Sábado","2022 Jun 04 08:00:00 PM","23.93"
"27","CHOCO","27077","BAJO BAUDÓ (PIZARRO)","27077905","PILIZA (BAJO BAUDÓ (PIZARRO) - CHOCO)","2022","06","5,760","4,579","35.2","Martes","2022 Jun 07 06:30:00 PM","6.75"
"27","CHOCO","27077","BAJO BAUDÓ (PIZARRO)","27077905","PIZARRO (BAJO BAUDÓ (PIZARRO) - CHOCO)","2022","06","207,574","94,136","492.6","Miércoles","2022 Jun 08 07:00:00 PM","22.77"
"27","CHOCO","27495","NUQUÍ","27495000","PUERTO JAGUA (NUQUÍ - CHOCO)","2022","06","742","379","4.8","Jueves","2022 Jun 30 07:15:00 PM","6.68"
"27","CHOCO","27001","QUIBDÓ","27001029","TAGACHI (QUIBDÓ - CHOCO)","2022","06","5,703","2,049","50.4","Sábado","2022 Jun 25 12:30:00 PM","5.27"
"27","CHOCO","27800","UNGUÍA","27800001","TITUMATE (UNGUÍA - CHOCO)","2022","06","16,907","4,374","89.8","Viernes","2022 Jun 17 07:00:00 PM","8.85"
"27","CHOCO","27250","EL LITORAL DEL SAN JUAN","27250000","TOGOROMA PLAYA (EL LITORAL DEL SAN JUAN - CHOCO)","2022","06","984","235","7.5","Miércoles","2022 Jun 01 07:15:00 PM","5.58"
"27","CHOCO","27800","UNGUÍA","27800001","UNGUÍA (UNGUÍA - CHOCO)","2022","06","391,559","133,588","867.5","Viernes","2022 Jun 03 08:30:00 PM","22.35"
"5","ANTIOQUIA","5873","VIGÍA DEL FUERTE","5873002","VEGÁEZ (VIGÍA DEL FUERTE - ANTIOQUIA)","2022","05","3,577","478","34.21","Domingo","2022 May 01 07:45:00 PM","6.12"
"27","CHOCO","27800","UNGUÍA","27800001","BALBOA (UNGUÍA - CHOCO)","2022","05","21,873","8,265","89.37","Domingo","2022 May 01 08:15:00 PM","10.25"
"27","CHOCO","27099","BOJAYÁ (BELLAVISTA)","27099000","BELLAVISTA (BOJAYÁ (BELLAVISTA) - CHOCO)","2022","05","81,611","23,560","261.12","Lunes","2022 May 09 06:45:00 PM","14.18"
"27","CHOCO","27425","MEDIO ATRATO (BETÉ)","27425000","BETÉ (MEDIO ATRATO (BETÉ) - CHOCO)","2022","05","16,854","9,058","64","Lunes","2022 May 02 07:00:00 PM","12.48"
"27","CHOCO","27025","ALTO BAUDÓ (PIE DE PATO)","27025000","CIUDAD BAUDÓ (ALTO BAUDÓ (PIE DE PATO) - CHOCO)","2022","05","47,152","15,698","129.01","Jueves","2022 May 19 07:30:00 PM","23.23"
"27","CHOCO","27495","NUQUÍ","27495000","COMUNIDAD INDÍGENA DE PANGUÍ - (EL YUCAL) (NUQUÍ - CHOCO)","2022","05","5,725","1,723","11.42","Viernes","2022 May 02 07:15:00 PM","23.02"
"27","CHOCO","27250","EL LITORAL DEL SAN JUAN","27250000","CUCURRUPÍ (EL LITORAL DEL SAN JUAN - CHOCO)","2022","05","3,318","917","20.35","Viernes","2022 May 20 05:30:00 PM","6.27"
"27","CHOCO","27075","BAHÍA SOLANO (MUTIS)","27075001","CUPICA (BAHÍA SOLANO (MUTIS) - CHOCO)","2022","05","72,895","25,205","167.27","Martes","2022 May 27 06:45:00 PM","23.92"
"27","CHOCO","27075","BAHÍA SOLANO (MUTIS)","27075001","EL VALLE (BAHÍA SOLANO (MUTIS) - CHOCO)","2022","05","164,833","68,266","344.26","Lunes","2022 May 03 08:00:00 PM","23.87"
"27","CHOCO","27372","JURADO","27372000","JURADO (JURADO - CHOCO)","2022","05","173,706","73,275","324.48","Lunes","2022 May 30 07:15:00 PM","23.93"
"27","CHOCO","27099","BOJAYÁ (BELLAVISTA)","27099000","LA LOMA DE BOJAYÁ (BOJAYÁ (BELLAVISTA) - CHOCO)","2022","05","10,591","5,672","60.8","Miércoles","2022 May 16 07:00:00 PM","8.2"
"27","CHOCO","27075","BAHÍA SOLANO (MUTIS)","27075001","MUTIS (BAHÍA SOLANO (MUTIS) - CHOCO)","2022","05","714,719","260,059","1,380.28","Lunes","2022 May 25 07:15:00 PM","23.88"
"27","CHOCO","27495","NUQUÍ","27495000","NUQUÍ (NUQUÍ - CHOCO)","2022","05","257,578","105,758","508.64","Viernes","2022 May 27 07:00:00 PM","23.6"
"27","CHOCO","27077","BAJO BAUDÓ (PIZARRO)","27077905","PILIZA (BAJO BAUDÓ (PIZARRO) - CHOCO)","2022","05","6,763","6,146","35.2","Lunes","2022 May 16 07:00:00 PM","7.82"
"27","CHOCO","27077","BAJO BAUDÓ (PIZARRO)","27077905","PIZARRO (BAJO BAUDÓ (PIZARRO) - CHOCO)","2022","05","218,269","100,015","469.92","Miércoles","2022 May 11 07:00:00 PM","22.23"
"27","CHOCO","27495","NUQUÍ","27495000","PUERTO JAGUA (NUQUÍ - CHOCO)","2022","05","847","420","4.66","Miércoles","2022 May 25 07:30:00 PM","7.92"
"27","CHOCO","27006","ACANDÍ","27006000","SAN FRANCISCO (ACANDÍ - CHOCO)","2022","05","2,590","1,089","31.78","Martes","2022 May 24 08:45:00 PM","3.58"
"27","CHOCO","27001","QUIBDÓ","27001029","TAGACHI (QUIBDÓ - CHOCO)","2022","05","6,141","2,262","54.48","Lunes","2022 May 09 07:30:00 PM","5.5"
"27","CHOCO","27800","UNGUÍA","27800001","TITUMATE (UNGUÍA - CHOCO)","2022","05","17,922","4,439","104.02","Domingo","2022 May 01 07:15:00 PM","8.17"
"27","CHOCO","27250","EL LITORAL DEL SAN JUAN","27250000","TOGOROMA PLAYA (EL LITORAL DEL SAN JUAN - CHOCO)","2022","05","895","240","7.95","Jueves","2022 May 19 06:30:00 PM","5.02"
"27","CHOCO","27800","UNGUÍA","27800001","UNGUÍA (UNGUÍA - CHOCO)","2022","05","430,371","143,541","902.35","Jueves","2022 May 12 09:15:00 PM","22.4"
"5","ANTIOQUIA","5873","VIGÍA DEL FUERTE","5873002","VEGÁEZ (VIGÍA DEL FUERTE - ANTIOQUIA)","2022","04","1,236","191","47.07","Jueves","2022 Apr 21 09:45:00 AM","1.4"
"27","CHOCO","27006","ACANDÍ","27006000","ACANDÍ (ACANDÍ - CHOCO)","2022","04","552,462","196,436","1,073.78","Miércoles","2022 Apr 06 09:30:00 PM","22.15"
"27","CHOCO","27800","UNGUÍA","27800001","BALBOA (UNGUÍA - CHOCO)","2022","04","20,278","7,670","84.88","Jueves","2022 Apr 28 08:00:00 PM","10.17"
"27","CHOCO","27099","BOJAYÁ (BELLAVISTA)","27099000","BELLAVISTA (BOJAYÁ (BELLAVISTA) - CHOCO)","2022","04","53,311","15,150","275.73","Martes","2022 Apr 05 08:15:00 PM","8.7"
"27","CHOCO","27425","MEDIO ATRATO (BETÉ)","27425000","BETÉ (MEDIO ATRATO (BETÉ) - CHOCO)","2022","04","15,763","8,691","60","Viernes","2022 Apr 29 12:00:00 PM","12.2"
"27","CHOCO","27077","BAJO BAUDÓ (PIZARRO)","27077905","BUENAVISTA (BAJO BAUDÓ (PIZARRO) - CHOCO)","2022","04","6,770","923","38.91","Miércoles","2022 Apr 13 11:00:00 AM","7"
"27","CHOCO","27025","ALTO BAUDÓ (PIE DE PATO)","27025000","CIUDAD BAUDÓ (ALTO BAUDÓ (PIE DE PATO) - CHOCO)","2022","04","42,964","14,475","135.52","Jueves","2022 Apr 07 07:30:00 PM","21.73"
"27","CHOCO","27495","NUQUÍ","27495000","COMUNIDAD INDÍGENA DE PANGUÍ - (EL YUCAL) (NUQUÍ - CHOCO)","2022","04","7,153","2,012","11.41","Domingo","2022 Apr 17 04:00:00 PM","23.73"
"27","CHOCO","27250","EL LITORAL DEL SAN JUAN","27250000","CUCURRUPÍ (EL LITORAL DEL SAN JUAN - CHOCO)","2022","04","3,262","879","20.22","Lunes","2022 Apr 18 06:45:00 PM","6.65"
"27","CHOCO","27075","BAHÍA SOLANO (MUTIS)","27075001","CUPICA (BAHÍA SOLANO (MUTIS) - CHOCO)","2022","04","56,886","20,834","160.12","Sábado","2022 Apr 23 07:30:00 PM","19.7"
"27","CHOCO","27075","BAHÍA SOLANO (MUTIS)","27075001","EL VALLE (BAHÍA SOLANO (MUTIS) - CHOCO)","2022","04","159,552","66,952","331.58","Martes","2022 Apr 12 07:15:00 PM","23.8"
"27","CHOCO","27372","JURADO","27372000","JURADO (JURADO - CHOCO)","2022","04","164,555","70,508","321.92","Martes","2022 Apr 05 07:45:00 PM","22.83"
"27","CHOCO","27099","BOJAYÁ (BELLAVISTA)","27099000","LA LOMA DE BOJAYÁ (BOJAYÁ (BELLAVISTA) - CHOCO)","2022","04","11,689","6,006","60.8","Viernes","2022 Apr 08 07:00:00 PM","8.8"
"27","CHOCO","27075","BAHÍA SOLANO (MUTIS)","27075001","MUTIS (BAHÍA SOLANO (MUTIS) - CHOCO)","2022","04","688,977","228,068","1,326.6","Lunes","2022 Apr 18 07:45:00 PM","23.88"
"27","CHOCO","27099","BOJAYÁ (BELLAVISTA)","27099000","NAPIPÍ (BOJAYÁ (BELLAVISTA) - CHOCO)","2022","04","2,648","724","64","Martes","2022 Apr 26 09:00:00 PM","1.75"
"27","CHOCO","27495","NUQUÍ","27495000","NUQUÍ (NUQUÍ - CHOCO)","2022","04","250,918","100,644","494.91","Martes","2022 Apr 05 07:15:00 PM","23.98"
"27","CHOCO","27077","BAJO BAUDÓ (PIZARRO)","27077905","PILIZA (BAJO BAUDÓ (PIZARRO) - CHOCO)","2022","04","6,915","5,898","35.2","Miércoles","2022 Apr 27 08:15:00 PM","8.55"
"27","CHOCO","27077","BAJO BAUDÓ (PIZARRO)","27077905","PIZARRO (BAJO BAUDÓ (PIZARRO) - CHOCO)","2022","04","201,810","91,051","444.58","Martes","2022 Apr 12 07:45:00 PM","21.98"
"27","CHOCO","27495","NUQUÍ","27495000","PUERTO JAGUA (NUQUÍ - CHOCO)","2022","04","661","332","4.32","Jueves","2022 Apr 14 07:15:00 PM","6.48"
"27","CHOCO","27250","EL LITORAL DEL SAN JUAN","27250000","SANTA GENOVEVA DE DOCORDÓ (EL LITORAL DEL SAN JUAN - CHOCO)","2022","04","54,053","29,739","168.7","Viernes","2022 Apr 08 06:30:00 PM","18.8"
"27","CHOCO","27001","QUIBDÓ","27001029","TAGACHI (QUIBDÓ - CHOCO)","2022","04","4,111","1,485","46.68","Jueves","2022 Apr 21 07:15:00 PM","3.65"
"27","CHOCO","27800","UNGUÍA","27800001","TITUMATE (UNGUÍA - CHOCO)","2022","04","18,478","4,604","101.82","Domingo","2022 Apr 24 08:30:00 PM","8.8"
"27","CHOCO","27250","EL LITORAL DEL SAN JUAN","27250000","TOGOROMA PLAYA (EL LITORAL DEL SAN JUAN - CHOCO)","2022","04","770","207","7.95","Martes","2022 Apr 19 06:30:00 PM","4.45"
"27","CHOCO","27800","UNGUÍA","27800001","UNGUÍA (UNGUÍA - CHOCO)","2022","04","398,357","134,764","850.08","Viernes","2022 Apr 29 08:45:00 PM","22.4"
"5","ANTIOQUIA","5873","VIGÍA DEL FUERTE","5873002","VEGÁEZ (VIGÍA DEL FUERTE - ANTIOQUIA)","2022","3","3,508","379","55.97","miércoles","2022 Mar 09 07:45:00 PM","4.39"
"5","ANTIOQUIA","5873","VIGÍA DEL FUERTE","5873002","VEGÁEZ (VIGÍA DEL FUERTE - ANTIOQUIA)","2022","2","2,753","272","46.62","sábado","2022 Feb 26 07:45:00 PM","4.01"
"5","ANTIOQUIA","5873","VIGÍA DEL FUERTE","5873002","VEGÁEZ (VIGÍA DEL FUERTE - ANTIOQUIA)","2022","1","3,438","423","39.71","lunes","2022 Jan 03 07:30:00 PM","4.23"
